Target, Date, X (au), Y (au), Z (au), Xp (au/day), Yp (au/day), Zp (au/day), Observer distance (au)
Earth,   2020-01-01T00:00:00.00,   -0.1663595623113,    0.9691180051977,   -0.0000412551760,   -0.0172391514783,   -0.0029817626678,    0.0000004253840,    0.9832930456750
Earth,   2020-01-02T00:00:00.00,   -0.1835711972590,    0.9659854466471,   -0.0000408887920,   -0.0171832180271,   -0.0032831437682,    0.0000003061148,    0.9832732424250
Earth,   2020-01-03T00:00:00.00,   -0.2007242113900,    0.9625521554454,   -0.0000406446602,   -0.0171219218934,   -0.0035832113478,    0.0000001817048,    0.9832582888756
Earth,   2020-01-04T00:00:00.00,   -0.2178132785261,    0.9588194940716,   -0.0000405254345,   -0.0170553364960,   -0.0038818683684,    0.0000000571452,    0.9832484162999
Earth,   2020-01-05T00:00:00.00,   -0.2348331474263,    0.9547889193003,   -0.0000405286938,   -0.0169835386160,   -0.0041790234538,   -0.0000000623737,    0.9832438604900
Earth,   2020-01-06T00:00:00.00,   -0.2517786460550,    0.9504619757141,   -0.0000406466525,   -0.0169066100371,   -0.0044745928173,   -0.0000001712886,    0.9832448604187
Earth,   2020-01-07T00:00:00.00,   -0.2686446868922,    0.9458402864742,   -0.0000408657342,   -0.0168246379727,   -0.0047685038059,   -0.0000002635804,    0.9832516549608
Earth,   2020-01-08T00:00:00.00,   -0.2854262717314,    0.9409255399133,   -0.0000411661485,   -0.0167377132885,   -0.0050606995406,   -0.0000003328777,    0.9832644760949
Earth,   2020-01-09T00:00:00.00,   -0.3021184931647,    0.9357194714098,   -0.0000415217048,   -0.0166459256323,   -0.0053511434754,   -0.0000003728445,    0.9832835373439
Earth,   2020-01-10T00:00:00.00,   -0.3187165295384,    0.9302238415056,   -0.0000419001816,   -0.0165493551905,   -0.0056398219488,   -0.0000003779016,    0.9833090171772
Earth,   2020-01-11T00:00:00.00,   -0.3352156302575,    0.9244404134753,   -0.0000422645630,   -0.0164480621018,   -0.0059267424032,   -0.0000003442175,    0.9833410388169
Earth,   2020-01-12T00:00:00.00,   -0.3516110904872,    0.9183709355706,   -0.0000425753119,   -0.0163420762647,   -0.0062119256262,   -0.0000002707387,    0.9833796500167
Earth,   2020-01-13T00:00:00.00,   -0.3678982174008,    0.9120171339650,   -0.0000427935482,   -0.0162313913612,   -0.0064953924395,   -0.0000001599056,    0.9834248079257
Earth,   2020-01-14T00:00:00.00,   -0.3840722939758,    0.9053807205584,   -0.0000428846426,   -0.0161159661712,   -0.0067771479750,   -0.0000000177304,    0.9834763738889
Earth,   2020-01-15T00:00:00.00,   -0.4001285479675,    0.8984634157805,   -0.0000428215194,   -0.0159957335377,   -0.0070571682507,    0.0000001468549,    0.9835341205206
Earth,   2020-01-16T00:00:00.00,   -0.4160621326736,    0.8912669819471,   -0.0000425870172,   -0.0158706141834,   -0.0073353928765,    0.0000003231736,    0.9835977496760
Earth,   2020-01-17T00:00:00.00,   -0.4318681221455,    0.8837932602833,   -0.0000421749707,   -0.0157405310752,   -0.0076117249143,    0.0000005001213,    0.9836669170133
Earth,   2020-01-18T00:00:00.00,   -0.4475415194567,    0.8760442051814,   -0.0000415900519,   -0.0156054208855,   -0.0078860361640,    0.0000006672871,    0.9837412580548
Earth,   2020-01-19T00:00:00.00,   -0.4630772743793,    0.8680219116342,   -0.0000408466620,   -0.0154652412308,   -0.0081581750233,    0.0000008157203,    0.9838204118598
Earth,   2020-01-20T00:00:00.00,   -0.4784703063796,    0.8597286345239,   -0.0000399672325,   -0.0153199741951,   -0.0084279745969,    0.0000009383594,    0.9839040403945
Earth,   2020-01-21T00:00:00.00,   -0.4937155297592,    0.8511668002011,   -0.0000389802259,   -0.0151696273624,   -0.0086952599485,    0.0000010302211,    0.9839918432637
Earth,   2020-01-22T00:00:00.00,   -0.5088078789912,    0.8423390113398,   -0.0000379180275,   -0.0150142333689,   -0.0089598543650,    0.0000010884398,    0.9840835681924
Earth,   2020-01-23T00:00:00.00,   -0.5237423331329,    0.8332480458934,   -0.0000368148530,   -0.0148538484164,   -0.0092215848651,    0.0000011122014,    0.9841790176874
Earth,   2020-01-24T00:00:00.00,   -0.5385139382499,    0.8238968508720,   -0.0000357047719,   -0.0146885497735,   -0.0094802870332,    0.0000011025754,    0.9842780520976
Earth,   2020-01-25T00:00:00.00,   -0.5531178267553,    0.8142885317474,   -0.0000346199527,   -0.0145184322376,   -0.0097358089435,    0.0000010622395,    0.9843805892074
Earth,   2020-01-26T00:00:00.00,   -0.5675492328295,    0.8044263385227,   -0.0000335892320,   -0.0143436037761,   -0.0099880137632,    0.0000009951135,    0.9844866006821
Earth,   2020-01-27T00:00:00.00,   -0.5818035032860,    0.7943136499980,   -0.0000326370775,   -0.0141641808872,   -0.0102367807247,    0.0000009059462,    0.9845961060629
Earth,   2020-01-28T00:00:00.00,   -0.5958761038906,    0.7839539579291,   -0.0000317829596,   -0.0139802843876,   -0.0104820044872,    0.0000007999224,    0.9847091653634
Earth,   2020-01-29T00:00:00.00,   -0.6097626220121,    0.7733508524350,   -0.0000310410812,   -0.0137920362496,   -0.0107235932889,    0.0000006823500,    0.9848258714761
Earth,   2020-01-30T00:00:00.00,   -0.6234587667975,    0.7625080095886,   -0.0000304203614,   -0.0135995578335,   -0.0109614665332,    0.0000005584674,    0.9849463434669
Earth,   2020-01-31T00:00:00.00,   -0.6369603682063,    0.7514291814773,   -0.0000299245468,   -0.0134029695265,   -0.0111955525136,    0.0000004333807,    0.9850707214899
Earth,   2020-02-01T00:00:00.00,   -0.6502633764029,    0.7401181881127,   -0.0000295523272,   -0.0132023915128,   -0.0114257868968,    0.0000003121136,    0.9851991635905
Earth,   2020-02-02T00:00:00.00,   -0.6633638622297,    0.7285789103258,   -0.0000292973603,   -0.0129979452017,   -0.0116521124267,    0.0000001997306,    0.9853318441734
Earth,   2020-02-03T00:00:00.00,   -0.6762580191559,    0.7168152822366,   -0.0000291481578,   -0.0127897546776,   -0.0118744801539,    0.0000001014817,    0.9854689534279
Earth,   2020-02-04T00:00:00.00,   -0.6889421664032,    0.7048312816377,   -0.0000290878460,   -0.0125779473523,   -0.0120928522887,    0.0000000228935,    0.9856106965072
Earth,   2020-02-05T00:00:00.00,   -0.7014127519069,    0.6926309167916,   -0.0000290939008,   -0.0123626527990,   -0.0123072064349,   -0.0000000302867,    0.9857572907566
